cohort,id,vwrec,PC1_pre,PC1_post,PC1_delta,structure
1,201,15,-5.401602481503628,-5.974259320214227,-0.572656838710599,Thalamus
1,204,13,-0.2855633982418519,-0.5911040263516866,-0.3055406281098347,Thalamus
1,205,15,3.16055522799665,2.039320805650379,-1.1212344223462711,Thalamus
1,208,14,4.367323893551771,3.5584865509596355,-0.8088373425921356,Thalamus
1,209,15,-5.621477028673059,-5.742336717210946,-0.12085968853788653,Thalamus
1,210,14,-2.1519244517662126,-1.18488214958422,0.9670423021819927,Thalamus
1,213,12,7.167991921753967,7.524452692237905,0.3564607704839382,Thalamus
1,215,13,7.146421321061804,9.136332733841618,1.989911412779814,Thalamus
1,216,15,-3.031954383897754,-3.210558035275675,-0.17860365137792122,Thalamus
1,221,15,0.8556647880498619,0.06536244922245396,-0.790302338827408,Thalamus
1,223,11,5.957823936534854,5.426756706113152,-0.5310672304217023,Thalamus
1,225,14,0.13862237239456343,-0.08756854410008356,-0.226190916494647,Thalamus
1,227,15,0.9926931062781668,0.6064722306016231,-0.3862208756765436,Thalamus
1,229,12,-0.31203632703201883,-0.5604307411097595,-0.2483944140777407,Thalamus
1,234,10,-6.3534055611500175,-5.503108812543021,0.8502967486069961,Thalamus
1,235,11,2.7566838117741095,3.0292870342612734,0.27260322248716395,Thalamus
1,236,12,0.9598643190931022,1.0530790169759372,0.09321469788283498,Thalamus
1,237,15,1.0854159932684275,1.338635890347221,0.25321989707879355,Thalamus
1,238,11,-1.3145236492548023,-1.7288095248754383,-0.414285875620636,Thalamus
1,239,13,3.013188624762429,3.224984431059444,0.21179580629701533,Thalamus
1,241,15,-0.6133445472818907,-1.4248839552297012,-0.8115394079478105,Thalamus
1,243,11,-2.190941168363093,-1.3683468257308484,0.8225943426322444,Thalamus
1,246,14,0.6965429435549414,-0.29090338446817904,-0.9874463280231205,Thalamus
1,248,15,1.5798160896429962,1.8117970645159756,0.2319809748729793,Thalamus
1,249,11,-3.4029003825195754,-3.5816790254433064,-0.17877864292373102,Thalamus
1,250,13,-1.9406156164934136,-1.8181128727538378,0.12250274373957581,Thalamus
1,252,15,4.895256252952496,5.462811847064886,0.56755559411239,Thalamus
