ROI,n_subjects,n_rows,beta_time,p_time,beta_dose,p_dose,beta_time_dose,p_time_dose,q_time_dose_fdr
cerebellum.CerebNet_Cbm_Right_VIIb,95,190,-14.833195327746193,0.6514503459954987,0.816570849142793,0.9891702588795145,-15.501761616517582,0.6586602603949194,0.9516823989917227
aseg+DKT_ctx-rh-inferiorparietal,95,190,-5.511894253920772,0.9151652275258908,157.69417732698645,0.2880751038769205,-24.412156666133594,0.658857045455808,0.9516823989917227
aseg+DKT_ctx-rh-precuneus,95,190,-10.61921780761218,0.7864618281669453,74.6343120161824,0.3838974112951513,-17.15888332237158,0.682092498635264,0.9662480628288154
cerebellum.CerebNet_Cbm_Left_VIIb,95,190,15.838075090619267,0.6002341931712356,5.424929830191447,0.9385703978960298,-13.21327633717017,0.682454925494478,0.9662480628288154
aseg+DKT_Right-Thalamus,95,190,-7.573594939439073,0.6372859430255351,4.657339039978961,0.9127569308968506,-6.718317712216471,0.6955183021865641,0.9714897161175252
aseg+DKT_ctx-lh-inferiortemporal,95,190,-11.251398940148807,0.8163916603721678,58.72502422740116,0.5812999990015977,-19.758611015225878,0.7028012080542638,0.9714897161175252
aseg+DKT_ctx-rh-postcentral,95,190,-17.378192523018342,0.49566092075744395,192.35468608644206,0.02078466043860402,-9.933150244264151,0.715538533041764,0.9714897161175252
aseg+DKT_ctx-lh-rostralmiddlefrontal,95,190,-80.86918023652336,0.00739187654186912,-343.6046489137183,0.0021480339502060295,-11.734766067856,0.7160550176206528,0.9714897161175252
hypothalamus.HypVINN_R-Chiasma-Opticum,95,190,-1.097230791784464,0.7935703972091868,4.977105696907128,0.3380279704535659,1.5118414351432994,0.7358328503084834,0.9714897161175252
cerebellum.CerebNet_Cbm_Right_CrusII,95,190,9.642067388205716,0.8516079826733574,2.991062110357515,0.9782718221091832,18.5524392426987,0.7362634988107968,0.9714897161175252
hypothalamus.HypVINN_Third-Ventricle,95,190,-0.9379326891087593,0.8775477102842053,-27.404456776497845,0.3292270820665747,2.149786776180396,0.7410253142538685,0.9714897161175252
aseg+DKT_Right-Lateral-Ventricle,95,190,71.60640534486903,0.07408232436591586,-367.7509970709635,0.5534224091292612,-14.07880818487954,0.7422309493037755,0.9714897161175252
aseg+DKT_Left-Amygdala,95,190,2.1963191814707264,0.846966799601052,-2.319268706770477,0.8811918006919547,-3.4682497609578835,0.7755198340041645,0.9714897161175252
aseg+DKT_ctx-rh-parahippocampal,95,190,8.188400595825456,0.4016839514349748,-42.79531783089843,0.014485355364522287,2.9304780726912414,0.7788375687774816,0.9714897161175252
aseg+DKT_ctx-lh-pericalcarine,95,190,-5.352613815816853,0.7430242021140325,55.64900290396905,0.23934823624202983,4.776766927594324,0.7842508763488211,0.9714897161175252
aseg+DKT_CSF,95,190,8.010230296185446,0.1862806211840058,-27.78063735194389,0.1520658575861493,1.7495089727852509,0.787066334553476,0.9714897161175252
hypothalamus.HypVINN_R-Post-Hypothalamus,95,190,1.6607271294141308,0.5865761379791681,-0.08110211400574352,0.9820282262816191,-0.8743662178630164,0.7887735237846951,0.9714897161175252
